land_area_acres,soil_type,soil_ph,water_source,irrigation_availability,season,investment_budget,resource_intensity,previous_crop,current_crop,soil_health_score,recommended_crop,match_percentage
9,Clay,6.6,Borewell,Available,Rabi,Low,Low Input,Maize,Groundnut,76,Mustard,98
4,Clay,7.4,Canal,Limited,Rabi,Medium,Fertilizer Usage,Cotton,Maize,68,Mustard,98
5,Clay,6.5,Canal,Available,Kharif,Medium,Fertilizer Usage,Millet,Millet,85,Basmati Rice,98
4,Clay,7.1,Rainfed,Limited,Summer,Medium,Low Input,Maize,Rice,61,Green Gram (Moong),98
3,Sandy,6.4,Canal,Available,Summer,High,Fertilizer Usage,Wheat,Rice,88,Groundnut,98
9,Clay,6.7,Borewell,Available,Kharif,High,Low Input,Cotton,Maize,78,Basmati Rice,98
8,Sandy,6.1,Canal,Available,Kharif,Low,Low Input,Millet,Cotton,89,Millet,98
9,Sandy,6.3,Canal,Limited,Rabi,Medium,Fertilizer Usage,Maize,Groundnut,94,Mustard,98
5,Sandy,5.5,Canal,Available,Rabi,High,High Input,Rice,Millet,60,Millet,97
2,Clay,7.2,Borewell,Available,Kharif,Medium,Low Input,Millet,Rice,76,Basmati Rice,98
7,Sandy,7.0,Rainfed,Limited,Summer,High,High Input,Wheat,Maize,87,Green Gram (Moong),98
9,Sandy,7.0,Canal,Available,Summer,High,Fertilizer Usage,Millet,Maize,78,Sunflower,98
1,Loamy,6.7,Borewell,Limited,Kharif,High,Fertilizer Usage,Millet,Millet,76,Cotton,98
8,Loamy,6.6,Rainfed,Available,Summer,Medium,Fertilizer Usage,Cotton,Rice,83,Green Gram (Moong),98
10,Loamy,6.1,Canal,Available,Rabi,Medium,Low Input,Maize,Groundnut,84,Sunflower,98
8,Clay,7.3,Rainfed,Available,Kharif,Medium,Low Input,Groundnut,Groundnut,57,Cotton,98
9,Sandy,7.5,Canal,Limited,Kharif,Medium,Fertilizer Usage,Millet,Maize,71,Groundnut,98
3,Sandy,7.2,Rainfed,Limited,Kharif,Low,Fertilizer Usage,Millet,Millet,77,Millet,98
4,Clay,6.1,Canal,Limited,Kharif,Low,Low Input,Rice,Groundnut,98,Basmati Rice,98
5,Sandy,5.9,Canal,Limited,Rabi,High,High Input,Rice,Wheat,68,Millet,98
4,Sandy,5.8,Canal,Limited,Rabi,Medium,Fertilizer Usage,Cotton,Wheat,64,Millet,98
4,Sandy,6.0,Borewell,Limited,Rabi,High,High Input,Wheat,Maize,80,Green Gram (Moong),96
8,Loamy,7.2,Rainfed,Limited,Rabi,Medium,Fertilizer Usage,Cotton,Groundnut,67,Sunflower,98
1,Clay,5.5,Canal,Limited,Summer,Medium,Low Input,Cotton,Maize,65,Green Gram (Moong),95
9,Sandy,7.4,Borewell,Available,Kharif,High,High Input,Rice,Rice,67,Groundnut,98
3,Loamy,7.0,Canal,Limited,Kharif,Medium,Low Input,Rice,Groundnut,84,Groundnut,98
2,Sandy,6.0,Rainfed,Limited,Rabi,Medium,High Input,Millet,Millet,84,Millet,98
2,Loamy,7.3,Rainfed,Available,Rabi,High,Fertilizer Usage,Millet,Millet,59,Cotton,98
5,Sandy,7.5,Canal,Available,Kharif,High,Fertilizer Usage,Rice,Maize,61,Groundnut,98
1,Loamy,6.1,Canal,Available,Summer,Low,Low Input,Groundnut,Rice,82,Sunflower,98
6,Sandy,7.4,Borewell,Available,Rabi,High,Low Input,Rice,Cotton,67,Sunflower,98
2,Clay,6.2,Rainfed,Available,Rabi,Low,High Input,Groundnut,Millet,83,Sunflower,98
3,Loamy,7.3,Rainfed,Available,Kharif,Low,High Input,Rice,Groundnut,66,Millet,98
3,Clay,6.5,Borewell,Limited,Summer,High,High Input,Rice,Cotton,93,Cotton,97
5,Clay,6.8,Borewell,Limited,Kharif,Low,High Input,Maize,Maize,78,Cotton,98
6,Loamy,6.7,Borewell,Available,Rabi,Low,Low Input,Maize,Maize,85,Mustard,98
3,Sandy,6.2,Borewell,Limited,Rabi,Medium,Low Input,Groundnut,Wheat,79,Millet,98
4,Sandy,6.2,Canal,Available,Summer,Medium,Fertilizer Usage,Wheat,Wheat,79,Sunflower,98
8,Sandy,6.1,Borewell,Limited,Summer,High,Low Input,Rice,Wheat,79,Green Gram (Moong),98
2,Sandy,7.3,Borewell,Available,Kharif,High,Fertilizer Usage,Wheat,Millet,72,Groundnut,98
3,Loamy,7.1,Rainfed,Available,Kharif,Medium,Low Input,Groundnut,Maize,56,Groundnut,98
4,Sandy,6.5,Rainfed,Available,Summer,High,High Input,Maize,Cotton,84,Green Gram (Moong),98
1,Loamy,6.4,Borewell,Available,Kharif,Low,High Input,Wheat,Cotton,91,Cotton,98
9,Loamy,6.0,Borewell,Available,Rabi,High,Fertilizer Usage,Rice,Millet,89,Mustard,98
1,Loamy,7.0,Borewell,Available,Kharif,High,Fertilizer Usage,Wheat,Millet,96,Groundnut,98
9,Loamy,6.2,Rainfed,Available,Kharif,Medium,Fertilizer Usage,Cotton,Cotton,84,Millet,98
6,Sandy,6.0,Canal,Limited,Rabi,Low,High Input,Cotton,Millet,77,Sunflower,98
7,Sandy,7.0,Canal,Limited,Rabi,Medium,High Input,Groundnut,Maize,75,Mustard,98
10,Sandy,5.6,Rainfed,Available,Kharif,Low,High Input,Cotton,Maize,71,Millet,98
3,Sandy,6.8,Borewell,Limited,Summer,High,Low Input,Millet,Wheat,87,Green Gram (Moong),98
9,Sandy,7.2,Rainfed,Limited,Rabi,Medium,Low Input,Rice,Maize,68,Mustard,98
4,Loamy,6.4,Rainfed,Available,Rabi,Low,Fertilizer Usage,Maize,Millet,91,Mustard,98
10,Loamy,5.5,Canal,Available,Summer,Low,Fertilizer Usage,Wheat,Millet,65,Sunflower,98
8,Sandy,6.7,Canal,Limited,Summer,Low,Fertilizer Usage,Cotton,Cotton,97,Green Gram (Moong),98
4,Loamy,6.0,Rainfed,Available,Rabi,High,Low Input,Wheat,Maize,86,Mustard,98
3,Clay,6.3,Borewell,Available,Rabi,High,Low Input,Rice,Rice,81,Mustard,98
4,Clay,7.0,Rainfed,Available,Kharif,High,Fertilizer Usage,Millet,Cotton,83,Basmati Rice,98
10,Sandy,6.5,Borewell,Available,Rabi,Low,Low Input,Rice,Rice,79,Millet,98
7,Sandy,7.4,Rainfed,Limited,Summer,High,Fertilizer Usage,Rice,Cotton,68,Sunflower,98
6,Loamy,5.6,Rainfed,Limited,Summer,Medium,High Input,Wheat,Wheat,66,Green Gram (Moong),98
5,Sandy,7.4,Rainfed,Limited,Kharif,Medium,Low Input,Millet,Rice,58,Millet,98
9,Loamy,6.4,Borewell,Available,Kharif,Medium,Low Input,Maize,Cotton,83,Groundnut,98
5,Clay,6.7,Rainfed,Limited,Rabi,High,Low Input,Groundnut,Millet,81,Mustard,98
3,Clay,5.8,Canal,Available,Rabi,Low,Fertilizer Usage,Wheat,Cotton,61,Basmati Rice,98
1,Clay,6.4,Canal,Available,Kharif,High,Low Input,Groundnut,Wheat,87,Cotton,98
9,Sandy,6.4,Rainfed,Limited,Rabi,Medium,Fertilizer Usage,Rice,Cotton,95,Millet,98
9,Sandy,5.5,Rainfed,Limited,Rabi,Low,Low Input,Groundnut,Rice,71,Millet,98
2,Clay,7.4,Borewell,Available,Kharif,High,Fertilizer Usage,Millet,Rice,63,Cotton,98
3,Sandy,5.9,Canal,Limited,Summer,Medium,Fertilizer Usage,Maize,Maize,60,Sunflower,98
10,Loamy,6.1,Borewell,Limited,Rabi,High,Low Input,Wheat,Wheat,85,Mustard,98
1,Sandy,7.3,Borewell,Limited,Kharif,High,High Input,Wheat,Groundnut,53,Cotton,98
7,Loamy,6.6,Rainfed,Limited,Rabi,High,High Input,Maize,Millet,86,Mustard,98
7,Loamy,6.4,Canal,Limited,Rabi,Low,High Input,Rice,Rice,85,Sunflower,98
9,Sandy,6.1,Borewell,Available,Summer,Medium,Fertilizer Usage,Cotton,Cotton,84,Sunflower,98
10,Clay,6.7,Canal,Available,Rabi,Low,Low Input,Millet,Rice,89,Mustard,98
9,Clay,6.1,Borewell,Limited,Summer,High,High Input,Maize,Cotton,82,Green Gram (Moong),97
7,Sandy,7.0,Borewell,Limited,Kharif,High,Fertilizer Usage,Wheat,Maize,92,Groundnut,98
1,Sandy,6.3,Canal,Available,Rabi,High,Low Input,Millet,Groundnut,89,Millet,98
9,Loamy,6.4,Canal,Available,Summer,Medium,Fertilizer Usage,Wheat,Groundnut,96,Sunflower,98
4,Loamy,6.1,Rainfed,Limited,Rabi,Low,Low Input,Maize,Rice,66,Mustard,98
3,Sandy,6.9,Rainfed,Available,Kharif,Low,Low Input,Groundnut,Groundnut,84,Green Gram (Moong),98
5,Clay,6.0,Canal,Limited,Rabi,Low,High Input,Groundnut,Cotton,80,Mustard,98
8,Clay,6.1,Rainfed,Limited,Summer,Low,High Input,Millet,Rice,98,Green Gram (Moong),97
4,Loamy,6.0,Rainfed,Available,Rabi,Medium,Fertilizer Usage,Cotton,Cotton,85,Sunflower,98
3,Clay,7.3,Borewell,Limited,Kharif,Medium,Low Input,Wheat,Wheat,70,Basmati Rice,98
1,Sandy,7.0,Rainfed,Limited,Kharif,Medium,High Input,Maize,Cotton,85,Millet,98
8,Sandy,6.3,Rainfed,Available,Kharif,Medium,High Input,Millet,Rice,82,Groundnut,98
9,Sandy,6.6,Borewell,Limited,Rabi,Low,High Input,Wheat,Groundnut,70,Sunflower,98
2,Clay,5.7,Rainfed,Available,Summer,Medium,Low Input,Millet,Cotton,65,Sunflower,91
8,Sandy,6.8,Canal,Available,Rabi,Low,Fertilizer Usage,Rice,Rice,77,Millet,98
1,Sandy,6.8,Rainfed,Available,Rabi,High,Low Input,Maize,Groundnut,87,Millet,98
5,Sandy,7.0,Rainfed,Limited,Summer,Medium,Low Input,Rice,Cotton,86,Green Gram (Moong),98
2,Loamy,7.3,Canal,Limited,Kharif,Low,Fertilizer Usage,Rice,Wheat,62,Groundnut,98
10,Sandy,7.4,Rainfed,Available,Kharif,Medium,High Input,Wheat,Groundnut,71,Groundnut,98
1,Sandy,6.9,Rainfed,Limited,Kharif,Medium,Low Input,Cotton,Groundnut,82,Millet,98
9,Loamy,6.0,Canal,Limited,Rabi,Medium,Fertilizer Usage,Maize,Groundnut,95,Mustard,98
6,Sandy,6.8,Rainfed,Limited,Rabi,Low,High Input,Wheat,Millet,84,Mustard,98
10,Sandy,6.6,Canal,Limited,Kharif,Medium,High Input,Wheat,Millet,81,Millet,98
8,Sandy,5.8,Rainfed,Available,Summer,High,High Input,Millet,Millet,64,Groundnut,98
3,Clay,6.1,Rainfed,Limited,Kharif,High,Fertilizer Usage,Wheat,Wheat,82,Cotton,98
2,Clay,6.3,Canal,Limited,Summer,High,High Input,Groundnut,Millet,86,Sunflower,98
8,Loamy,6.7,Borewell,Limited,Rabi,Low,Low Input,Rice,Rice,84,Mustard,98
10,Sandy,7.2,Rainfed,Available,Rabi,Low,Fertilizer Usage,Millet,Cotton,66,Mustard,98
7,Loamy,6.6,Rainfed,Limited,Kharif,Medium,Low Input,Groundnut,Maize,83,Green Gram (Moong),98
8,Clay,5.6,Canal,Limited,Rabi,Low,High Input,Maize,Groundnut,66,Mustard,97
7,Loamy,6.9,Borewell,Limited,Rabi,Low,Fertilizer Usage,Cotton,Groundnut,88,Mustard,98
8,Loamy,6.6,Rainfed,Available,Rabi,Medium,Fertilizer Usage,Maize,Rice,75,Mustard,98
7,Clay,6.7,Rainfed,Available,Rabi,Medium,Low Input,Cotton,Millet,90,Mustard,98
6,Loamy,6.0,Rainfed,Limited,Rabi,High,Fertilizer Usage,Maize,Millet,85,Mustard,98
7,Clay,5.9,Canal,Limited,Rabi,High,Low Input,Maize,Wheat,66,Mustard,98
6,Loamy,6.2,Canal,Limited,Rabi,High,Fertilizer Usage,Cotton,Cotton,88,Mustard,98
6,Sandy,7.1,Borewell,Limited,Rabi,Low,Low Input,Millet,Cotton,73,Mustard,98
3,Clay,6.6,Rainfed,Limited,Summer,High,Fertilizer Usage,Cotton,Cotton,81,Green Gram (Moong),98
9,Loamy,7.5,Canal,Available,Kharif,High,Low Input,Wheat,Wheat,62,Green Gram (Moong),98
1,Clay,7.4,Canal,Limited,Rabi,High,Fertilizer Usage,Cotton,Rice,66,Mustard,98
3,Loamy,6.2,Rainfed,Available,Summer,Medium,Low Input,Maize,Wheat,80,Green Gram (Moong),98
1,Loamy,5.6,Borewell,Limited,Summer,High,Fertilizer Usage,Groundnut,Cotton,69,Green Gram (Moong),98
10,Loamy,6.6,Borewell,Limited,Summer,Low,Low Input,Rice,Groundnut,80,Green Gram (Moong),98
5,Loamy,7.5,Borewell,Limited,Kharif,Low,High Input,Maize,Groundnut,66,Cotton,98
4,Sandy,7.2,Canal,Limited,Kharif,Low,Low Input,Maize,Cotton,57,Millet,98
8,Clay,7.0,Canal,Limited,Rabi,Low,High Input,Millet,Cotton,87,Mustard,98
7,Clay,5.8,Borewell,Limited,Summer,High,High Input,Wheat,Groundnut,60,Sunflower,98
9,Sandy,5.8,Rainfed,Available,Rabi,Low,Fertilizer Usage,Groundnut,Millet,63,Mustard,98
4,Sandy,6.7,Canal,Limited,Kharif,High,Low Input,Millet,Rice,83,Millet,98
2,Sandy,6.6,Rainfed,Available,Summer,Low,High Input,Millet,Groundnut,81,Green Gram (Moong),98
2,Clay,6.7,Canal,Limited,Summer,High,Fertilizer Usage,Cotton,Rice,82,Mustard,97
1,Sandy,6.1,Canal,Limited,Summer,High,Low Input,Rice,Rice,83,Green Gram (Moong),98
3,Clay,6.5,Canal,Limited,Rabi,Low,High Input,Wheat,Rice,84,Mustard,98
2,Clay,6.3,Rainfed,Limited,Kharif,Low,Fertilizer Usage,Rice,Groundnut,81,Basmati Rice,98
10,Clay,7.0,Borewell,Available,Kharif,Medium,Low Input,Cotton,Wheat,94,Basmati Rice,98
4,Sandy,6.6,Borewell,Available,Kharif,Low,High Input,Rice,Millet,85,Groundnut,98
2,Loamy,6.3,Borewell,Limited,Kharif,Medium,High Input,Rice,Cotton,89,Cotton,98
7,Sandy,6.4,Borewell,Limited,Rabi,High,Fertilizer Usage,Groundnut,Rice,78,Millet,98
1,Loamy,5.8,Rainfed,Limited,Kharif,High,Low Input,Cotton,Wheat,79,Millet,98
8,Sandy,7.5,Rainfed,Limited,Summer,High,High Input,Millet,Rice,71,Millet,97
6,Loamy,5.5,Rainfed,Available,Kharif,Low,Low Input,Rice,Rice,84,Millet,98
4,Sandy,6.7,Borewell,Limited,Rabi,High,Fertilizer Usage,Millet,Cotton,88,Sunflower,98
3,Loamy,5.8,Rainfed,Available,Rabi,Medium,Low Input,Cotton,Rice,50,Mustard,98
8,Loamy,6.7,Rainfed,Limited,Summer,Low,Low Input,Groundnut,Wheat,87,Green Gram (Moong),98
10,Loamy,5.9,Rainfed,Available,Summer,High,High Input,Millet,Millet,51,Sunflower,98
6,Loamy,6.9,Borewell,Available,Kharif,High,Low Input,Millet,Maize,77,Millet,98
1,Sandy,7.0,Borewell,Limited,Kharif,High,High Input,Wheat,Groundnut,85,Cotton,98
1,Clay,6.1,Rainfed,Available,Rabi,Medium,Low Input,Groundnut,Maize,85,Mustard,98
4,Loamy,7.1,Canal,Limited,Kharif,Low,Fertilizer Usage,Wheat,Maize,62,Millet,98
6,Sandy,7.1,Borewell,Limited,Summer,Medium,Fertilizer Usage,Maize,Rice,67,Millet,98
5,Clay,6.8,Borewell,Available,Kharif,High,High Input,Groundnut,Rice,78,Basmati Rice,98
5,Loamy,6.7,Canal,Available,Kharif,Medium,Low Input,Millet,Wheat,93,Millet,98
2,Clay,5.7,Rainfed,Available,Summer,Low,High Input,Cotton,Rice,75,Basmati Rice,98
10,Sandy,6.8,Canal,Available,Summer,Medium,Low Input,Maize,Cotton,82,Green Gram (Moong),98
10,Clay,6.8,Borewell,Available,Kharif,Low,Fertilizer Usage,Rice,Rice,94,Basmati Rice,98
1,Sandy,5.9,Borewell,Available,Rabi,High,High Input,Groundnut,Rice,63,Groundnut,98
3,Clay,6.4,Rainfed,Available,Kharif,Low,High Input,Rice,Groundnut,73,Cotton,98
3,Sandy,7.2,Borewell,Limited,Kharif,Medium,High Input,Rice,Rice,60,Millet,98
6,Loamy,6.5,Rainfed,Available,Kharif,Medium,High Input,Groundnut,Maize,93,Green Gram (Moong),98
5,Clay,6.2,Canal,Limited,Kharif,High,Fertilizer Usage,Wheat,Maize,76,Cotton,98
4,Sandy,7.3,Rainfed,Limited,Rabi,High,Low Input,Millet,Rice,65,Mustard,98
10,Clay,6.7,Rainfed,Available,Rabi,Low,High Input,Cotton,Maize,89,Mustard,98
3,Loamy,7.1,Borewell,Limited,Rabi,Low,Low Input,Cotton,Cotton,57,Mustard,98
6,Loamy,7.0,Borewell,Available,Kharif,High,Low Input,Cotton,Maize,95,Cotton,98
10,Loamy,5.9,Canal,Available,Rabi,Medium,High Input,Cotton,Millet,81,Mustard,98
1,Sandy,7.0,Rainfed,Available,Summer,High,High Input,Cotton,Millet,81,Green Gram (Moong),98
3,Loamy,6.3,Rainfed,Limited,Rabi,High,Low Input,Wheat,Millet,86,Millet,98
2,Clay,6.6,Rainfed,Limited,Kharif,Low,Fertilizer Usage,Millet,Cotton,78,Cotton,98
4,Sandy,7.1,Rainfed,Limited,Summer,Medium,High Input,Maize,Rice,58,Millet,98
6,Loamy,6.3,Canal,Limited,Summer,High,High Input,Rice,Rice,87,Sunflower,98
2,Loamy,6.0,Rainfed,Available,Rabi,Medium,Fertilizer Usage,Groundnut,Rice,90,Mustard,98
1,Loamy,7.4,Rainfed,Limited,Summer,High,High Input,Rice,Groundnut,64,Sunflower,98
4,Sandy,7.1,Rainfed,Limited,Kharif,Medium,Fertilizer Usage,Rice,Maize,55,Green Gram (Moong),98
2,Loamy,6.3,Borewell,Limited,Rabi,High,Low Input,Rice,Rice,80,Mustard,98
6,Loamy,6.9,Borewell,Available,Rabi,Medium,Fertilizer Usage,Millet,Millet,96,Mustard,98
7,Sandy,7.3,Rainfed,Available,Rabi,High,High Input,Groundnut,Cotton,62,Mustard,98
7,Loamy,6.1,Rainfed,Available,Rabi,Low,High Input,Groundnut,Maize,87,Mustard,98
3,Loamy,6.3,Rainfed,Available,Rabi,Low,Fertilizer Usage,Millet,Wheat,85,Mustard,98
7,Sandy,6.7,Rainfed,Limited,Rabi,Low,Low Input,Wheat,Maize,85,Green Gram (Moong),98
7,Sandy,5.8,Canal,Available,Kharif,Low,High Input,Rice,Maize,66,Groundnut,98
4,Loamy,7.2,Borewell,Limited,Rabi,Low,High Input,Maize,Maize,63,Mustard,98
8,Clay,5.8,Rainfed,Limited,Rabi,High,High Input,Groundnut,Cotton,72,Sunflower,96
1,Loamy,5.8,Rainfed,Available,Rabi,Low,Fertilizer Usage,Wheat,Groundnut,60,Mustard,98
3,Loamy,6.6,Borewell,Limited,Rabi,Low,Low Input,Groundnut,Groundnut,79,Mustard,98
9,Sandy,6.9,Borewell,Limited,Kharif,Medium,Fertilizer Usage,Rice,Cotton,73,Groundnut,98
6,Loamy,7.2,Rainfed,Available,Kharif,Low,High Input,Maize,Cotton,55,Cotton,98
5,Sandy,7.2,Rainfed,Available,Kharif,High,Fertilizer Usage,Groundnut,Maize,59,Groundnut,98
5,Clay,6.2,Canal,Limited,Rabi,High,High Input,Millet,Maize,82,Sunflower,98
10,Loamy,6.4,Borewell,Limited,Kharif,Medium,Low Input,Maize,Cotton,87,Green Gram (Moong),98
5,Loamy,5.7,Rainfed,Limited,Kharif,Low,Fertilizer Usage,Maize,Groundnut,64,Millet,98
1,Loamy,7.4,Borewell,Available,Kharif,High,High Input,Maize,Rice,65,Cotton,98
4,Sandy,6.7,Canal,Limited,Summer,Medium,Low Input,Groundnut,Millet,85,Green Gram (Moong),98
1,Sandy,7.2,Borewell,Limited,Rabi,Medium,Low Input,Wheat,Groundnut,66,Millet,98
4,Clay,5.8,Canal,Limited,Kharif,High,High Input,Groundnut,Millet,61,Cotton,98
3,Clay,6.0,Canal,Available,Kharif,Medium,Fertilizer Usage,Cotton,Cotton,98,Basmati Rice,98
8,Clay,6.7,Rainfed,Limited,Rabi,Low,High Input,Maize,Cotton,88,Mustard,98
10,Sandy,6.1,Borewell,Limited,Summer,High,Low Input,Groundnut,Maize,81,Millet,98
7,Clay,7.2,Canal,Available,Kharif,Low,Fertilizer Usage,Millet,Maize,62,Basmati Rice,98
8,Sandy,7.1,Borewell,Available,Kharif,Medium,Low Input,Cotton,Wheat,64,Groundnut,98
6,Loamy,6.5,Rainfed,Available,Rabi,Medium,Low Input,Rice,Millet,88,Mustard,98
7,Clay,5.5,Borewell,Available,Kharif,Medium,Low Input,Groundnut,Millet,70,Basmati Rice,98
5,Sandy,6.3,Canal,Limited,Kharif,Low,High Input,Wheat,Wheat,75,Basmati Rice,98
6,Sandy,5.8,Borewell,Limited,Kharif,Low,High Input,Millet,Groundnut,67,Millet,98
1,Sandy,6.8,Canal,Available,Summer,High,Low Input,Maize,Cotton,80,Green Gram (Moong),98
5,Clay,5.9,Rainfed,Available,Kharif,High,Fertilizer Usage,Cotton,Rice,69,Basmati Rice,98
4,Loamy,6.9,Rainfed,Available,Summer,Medium,Fertilizer Usage,Millet,Millet,86,Sunflower,98
6,Loamy,5.7,Canal,Limited,Kharif,High,High Input,Wheat,Wheat,62,Groundnut,98
5,Clay,6.4,Borewell,Limited,Rabi,Low,High Input,Cotton,Wheat,89,Mustard,98
3,Clay,7.0,Canal,Available,Summer,High,Low Input,Millet,Cotton,80,Green Gram (Moong),98
5,Clay,7.3,Borewell,Limited,Summer,Low,High Input,Rice,Wheat,64,Sunflower,98
8,Clay,7.4,Borewell,Limited,Rabi,Low,Fertilizer Usage,Rice,Rice,63,Sunflower,98
8,Sandy,5.6,Canal,Available,Kharif,Low,High Input,Groundnut,Groundnut,60,Groundnut,98
8,Clay,7.2,Borewell,Available,Summer,Low,Fertilizer Usage,Wheat,Wheat,61,Cotton,98
2,Clay,7.5,Borewell,Available,Kharif,Medium,Fertilizer Usage,Rice,Groundnut,58,Cotton,98
10,Sandy,6.6,Canal,Available,Kharif,Low,High Input,Groundnut,Wheat,88,Cotton,98
6,Sandy,7.1,Borewell,Limited,Summer,Low,Fertilizer Usage,Rice,Groundnut,70,Groundnut,98
6,Clay,6.7,Rainfed,Limited,Kharif,Low,Fertilizer Usage,Maize,Groundnut,93,Cotton,98
10,Sandy,5.6,Borewell,Available,Summer,Low,Low Input,Wheat,Rice,68,Millet,98
8,Sandy,7.1,Rainfed,Limited,Rabi,Low,Low Input,Rice,Millet,75,Millet,98
3,Loamy,7.1,Borewell,Available,Rabi,Medium,High Input,Rice,Millet,69,Millet,98
5,Loamy,5.9,Canal,Limited,Kharif,High,High Input,Groundnut,Rice,59,Cotton,98
10,Sandy,5.7,Canal,Available,Rabi,Low,Fertilizer Usage,Groundnut,Wheat,58,Millet,98
10,Clay,6.4,Canal,Available,Kharif,Medium,High Input,Cotton,Cotton,82,Cotton,98
5,Sandy,5.6,Rainfed,Limited,Kharif,High,Low Input,Maize,Maize,71,Millet,98
7,Clay,6.2,Rainfed,Limited,Summer,Low,Low Input,Cotton,Cotton,84,Green Gram (Moong),98
1,Loamy,7.3,Borewell,Limited,Rabi,Medium,Low Input,Wheat,Groundnut,52,Mustard,98
3,Loamy,5.7,Borewell,Available,Kharif,High,Low Input,Rice,Cotton,68,Green Gram (Moong),98
4,Clay,5.7,Borewell,Available,Rabi,Medium,Low Input,Wheat,Millet,69,Mustard,98
3,Sandy,5.9,Rainfed,Available,Rabi,Low,High Input,Wheat,Cotton,65,Millet,98
1,Clay,6.9,Canal,Available,Kharif,Low,Low Input,Maize,Maize,82,Cotton,98
1,Loamy,7.1,Canal,Available,Kharif,Low,Fertilizer Usage,Wheat,Maize,58,Groundnut,98
10,Loamy,6.3,Canal,Available,Rabi,High,Low Input,Wheat,Maize,84,Sunflower,98
10,Clay,5.6,Borewell,Limited,Summer,Low,High Input,Maize,Groundnut,67,Sunflower,95
8,Sandy,7.4,Canal,Limited,Kharif,Low,Fertilizer Usage,Maize,Wheat,67,Groundnut,98
2,Sandy,6.2,Borewell,Available,Rabi,High,Low Input,Maize,Millet,77,Millet,98
5,Sandy,6.4,Rainfed,Available,Summer,Low,Fertilizer Usage,Maize,Rice,92,Green Gram (Moong),98
6,Sandy,7.4,Canal,Available,Summer,Medium,Fertilizer Usage,Maize,Millet,63,Sunflower,98
6,Clay,6.9,Rainfed,Available,Summer,High,High Input,Cotton,Groundnut,84,Green Gram (Moong),98
4,Sandy,6.9,Borewell,Available,Rabi,High,High Input,Cotton,Wheat,92,Sunflower,98
3,Clay,6.5,Canal,Limited,Rabi,Medium,Low Input,Maize,Maize,84,Mustard,98
10,Loamy,6.6,Canal,Available,Rabi,Low,Low Input,Millet,Cotton,80,Sunflower,98
7,Loamy,7.0,Canal,Available,Rabi,Low,Low Input,Millet,Cotton,91,Mustard,98
7,Sandy,6.0,Rainfed,Available,Rabi,Medium,Fertilizer Usage,Wheat,Wheat,96,Millet,98
5,Clay,6.6,Canal,Available,Kharif,Medium,Fertilizer Usage,Maize,Wheat,81,Basmati Rice,98
8,Loamy,7.1,Borewell,Available,Summer,Low,High Input,Wheat,Maize,64,Sunflower,98
4,Sandy,6.9,Borewell,Available,Summer,High,High Input,Rice,Groundnut,86,Groundnut,98
2,Sandy,7.5,Canal,Limited,Summer,Medium,Fertilizer Usage,Rice,Rice,64,Millet,98
9,Sandy,6.8,Borewell,Limited,Kharif,Low,Fertilizer Usage,Maize,Rice,88,Millet,98
2,Clay,5.8,Canal,Available,Kharif,Medium,Low Input,Rice,Rice,68,Basmati Rice,98
7,Sandy,6.3,Canal,Available,Summer,Low,High Input,Rice,Maize,85,Sunflower,98
8,Loamy,6.0,Rainfed,Limited,Kharif,Medium,Low Input,Maize,Wheat,81,Millet,98
3,Loamy,5.7,Rainfed,Available,Rabi,High,Fertilizer Usage,Millet,Groundnut,71,Mustard,98
9,Loamy,7.3,Rainfed,Limited,Rabi,Medium,High Input,Millet,Groundnut,67,Mustard,98
4,Clay,5.7,Canal,Limited,Kharif,High,Fertilizer Usage,Groundnut,Cotton,50,Basmati Rice,98
6,Clay,6.6,Borewell,Available,Summer,Low,Low Input,Groundnut,Cotton,82,Green Gram (Moong),97
10,Loamy,5.9,Canal,Available,Kharif,High,High Input,Wheat,Wheat,64,Basmati Rice,98
7,Sandy,6.9,Rainfed,Limited,Rabi,High,Low Input,Rice,Wheat,83,Millet,98
8,Sandy,6.5,Canal,Limited,Kharif,Medium,High Input,Groundnut,Rice,91,Cotton,98
8,Sandy,6.6,Rainfed,Limited,Kharif,High,High Input,Rice,Rice,92,Groundnut,98
10,Loamy,7.4,Borewell,Limited,Rabi,High,Fertilizer Usage,Millet,Cotton,65,Sunflower,98
10,Clay,6.0,Borewell,Available,Rabi,Low,High Input,Wheat,Millet,81,Sunflower,98
2,Sandy,5.9,Rainfed,Available,Kharif,High,Low Input,Maize,Millet,63,Millet,98
2,Clay,5.8,Canal,Limited,Rabi,High,Fertilizer Usage,Groundnut,Rice,68,Mustard,98
6,Loamy,6.3,Borewell,Limited,Rabi,High,Fertilizer Usage,Rice,Cotton,79,Mustard,98
4,Sandy,7.2,Canal,Available,Rabi,Low,Fertilizer Usage,Groundnut,Rice,61,Sunflower,98
10,Loamy,5.9,Borewell,Limited,Summer,Low,High Input,Millet,Wheat,74,Green Gram (Moong),98
9,Loamy,6.7,Borewell,Limited,Kharif,Medium,Fertilizer Usage,Cotton,Wheat,86,Groundnut,98
10,Clay,7.2,Canal,Available,Rabi,High,Low Input,Groundnut,Cotton,69,Mustard,98
6,Loamy,6.5,Canal,Available,Summer,Low,High Input,Millet,Millet,86,Basmati Rice,98
